,action,device,flag,image,mouse,name,owl,cond,cond2
0,False,mouse,,False,234.339093072,MDR,True,imgF_aiF,aligned
1,False,mouse,,False,70.0500215765,MDR,True,imgF_aiF,aligned
2,False,mouse,,False,299.203970127,MDR,True,imgF_aiF,aligned
3,True,mouse,,True,344.025017394,MDR,True,imgT_aiF,not-aligned
4,False,mouse,,False,303.758277397,MDR,True,imgF_aiF,aligned
5,True,mouse,,True,112.358198912,MDR,True,imgT_aiF,not-aligned
6,True,mouse,,True,193.490120309,MDR,True,imgT_aiF,not-aligned
7,True,mouse,,True,255.17948602,MDR,True,imgT_aiF,not-aligned
8,False,mouse,,False,302.24207639,MDR,True,imgF_aiF,aligned
9,False,mouse,,False,413.286973344,MDR,True,imgF_aiF,aligned
10,True,mouse,True,True,373.358636105,MDR,False,imgT_aiT,aligned
11,True,mouse,True,True,377.229068222,MDR,False,imgT_aiT,aligned
12,True,mouse,True,True,25.6124969497,MDR,False,imgT_aiT,aligned
13,False,mouse,True,True,159.904922783,MDR,False,imgT_aiT,aligned
14,False,mouse,False,False,113.882625436,MDR,False,imgF_aiF,aligned
15,True,mouse,True,True,9.15491824485,MDR,False,imgT_aiT,aligned
16,True,mouse,True,True,371.037285027,MDR,False,imgT_aiT,aligned
17,True,mouse,True,True,21.5633469533,MDR,False,imgT_aiT,aligned
18,False,mouse,False,False,42.8901876904,MDR,False,imgF_aiF,aligned
19,False,mouse,False,False,58.0436585958,MDR,False,imgF_aiF,aligned
20,True,mouse,False,True,288.723332569,MDR,False,imgT_aiF,not-aligned
21,True,mouse,True,True,269.241560182,MDR,False,imgT_aiT,aligned
22,True,mouse,True,True,35.8433710745,MDR,False,imgT_aiT,aligned
23,True,mouse,True,True,20.5707797375,MDR,False,imgT_aiT,aligned
24,True,mouse,True,True,13.3239550416,MDR,False,imgT_aiT,aligned
25,True,mouse,False,True,403.632970214,MDR,False,imgT_aiF,not-aligned
26,True,mouse,True,True,72.5713755216,MDR,False,imgT_aiT,aligned
27,False,mouse,False,False,384.962473081,MDR,False,imgF_aiF,aligned
28,True,mouse,True,True,20.1019311174,MDR,False,imgT_aiT,aligned
29,False,mouse,False,False,261.358619345,MDR,False,imgF_aiF,aligned
30,True,mouse,True,True,69.7003145154,MDR,False,imgT_aiT,aligned
31,True,mouse,True,True,25.6107395404,MDR,False,imgT_aiT,aligned
32,False,mouse,False,False,352.016655058,MDR,False,imgF_aiF,aligned
33,True,mouse,False,True,26.9213460692,MDR,False,imgT_aiF,not-aligned
34,False,mouse,False,False,61.2333476184,MDR,False,imgF_aiF,aligned
35,False,mouse,False,False,243.552486309,MDR,False,imgF_aiF,aligned
36,False,mouse,False,False,384.517284894,MDR,False,imgF_aiF,aligned
37,False,mouse,False,False,63.1108009754,MDR,False,imgF_aiF,aligned
38,True,mouse,True,True,376.832925004,MDR,False,imgT_aiT,aligned
39,False,mouse,True,False,333.744147618,MDR,False,imgF_aiT,not-aligned
40,True,,,True,396.157451441,JF,True,imgT_aiF,not-aligned
41,True,,,True,117.333984059,JF,True,imgT_aiF,not-aligned
42,True,,,True,35.8014155298,JF,True,imgT_aiF,not-aligned
