name,imgF_aiF,imgF_aiT,imgT_aiF,imgT_aiT
HCS,56.8974794191,114.001188083,58.254485335,124.417265505
I.W.,147.038093993,303.663440306,132.815047143,110.276143359
J.Q,69.7798175325,198.525468981,162.342486278,128.133073471
JF,168.092093531,364.523056572,175.125299263,199.745078694
KS,230.327718965,402.735624455,16.2151024388,92.806797236
LR,282.108597611,154.246898503,131.452469824,120.179456071
MDR,195.849877081,361.761222541,149.648515976,111.931397924
MDR-touchpad,264.973072168,,64.6567863913,94.8437340141
P,190.641773294,268.233618241,185.866157213,112.823941208
RG,163.096309178,,,129.44195261
SAW,280.389432063,156.918665584,44.5171256675,156.113627726
SH,238.244440758,98.3632228282,216.053868271,228.594464691
SM,214.476726299,136.038641724,116.626215359,102.543502061
SR,79.4243223192,154.728415364,14.2738382832,61.6443820098
TM,120.691289673,27.0582092857,163.704198232,104.467779094
X to the Z Xzibit ,180.204428509,153.664927448,230.595641917,123.861423422
ssa,175.578740397,221.730295154,27.3516413645,43.6099775953
vs,79.7568337064,210.256437518,21.4167578135,30.9405674241
