,action,cat,device,flag,image,mouse,name,cond,cond2
0,False,owl,mouse,,False,234.339093072,MDR,imgF_aiF,aligned
1,False,owl,mouse,,False,70.0500215765,MDR,imgF_aiF,aligned
2,False,owl,mouse,,False,299.203970127,MDR,imgF_aiF,aligned
3,True,owl,mouse,,True,344.025017394,MDR,imgT_aiF,not-aligned
4,False,owl,mouse,,False,303.758277397,MDR,imgF_aiF,aligned
5,True,owl,mouse,,True,112.358198912,MDR,imgT_aiF,not-aligned
6,True,owl,mouse,,True,193.490120309,MDR,imgT_aiF,not-aligned
7,True,owl,mouse,,True,255.17948602,MDR,imgT_aiF,not-aligned
8,False,owl,mouse,,False,302.24207639,MDR,imgF_aiF,aligned
9,False,owl,mouse,,False,413.286973344,MDR,imgF_aiF,aligned
10,True,elvis,mouse,True,True,373.358636105,MDR,imgT_aiT,aligned
11,True,elvis,mouse,True,True,377.229068222,MDR,imgT_aiT,aligned
12,True,elvis,mouse,True,True,25.6124969497,MDR,imgT_aiT,aligned
13,False,elvis,mouse,True,True,159.904922783,MDR,imgT_aiT,aligned
14,False,elvis,mouse,False,False,113.882625436,MDR,imgF_aiF,aligned
15,True,elvis,mouse,True,True,9.15491824485,MDR,imgT_aiT,aligned
16,True,elvis,mouse,True,True,371.037285027,MDR,imgT_aiT,aligned
17,True,elvis,mouse,True,True,21.5633469533,MDR,imgT_aiT,aligned
18,False,elvis,mouse,False,False,42.8901876904,MDR,imgF_aiF,aligned
19,False,elvis,mouse,False,False,58.0436585958,MDR,imgF_aiF,aligned
20,True,hot_dog,mouse,False,True,288.723332569,MDR,imgT_aiF,not-aligned
21,True,hot_dog,mouse,True,True,269.241560182,MDR,imgT_aiT,aligned
22,True,hot_dog,mouse,True,True,35.8433710745,MDR,imgT_aiT,aligned
23,True,hot_dog,mouse,True,True,20.5707797375,MDR,imgT_aiT,aligned
24,True,hot_dog,mouse,True,True,13.3239550416,MDR,imgT_aiT,aligned
25,True,hot_dog,mouse,False,True,403.632970214,MDR,imgT_aiF,not-aligned
26,True,hot_dog,mouse,True,True,72.5713755216,MDR,imgT_aiT,aligned
27,False,hot_dog,mouse,False,False,384.962473081,MDR,imgF_aiF,aligned
28,True,hot_dog,mouse,True,True,20.1019311174,MDR,imgT_aiT,aligned
29,False,hot_dog,mouse,False,False,261.358619345,MDR,imgF_aiF,aligned
30,True,dog,mouse,True,True,69.7003145154,MDR,imgT_aiT,aligned
31,True,dog,mouse,True,True,25.6107395404,MDR,imgT_aiT,aligned
32,False,dog,mouse,False,False,352.016655058,MDR,imgF_aiF,aligned
33,True,dog,mouse,False,True,26.9213460692,MDR,imgT_aiF,not-aligned
34,False,dog,mouse,False,False,61.2333476184,MDR,imgF_aiF,aligned
35,False,dog,mouse,False,False,243.552486309,MDR,imgF_aiF,aligned
36,False,dog,mouse,False,False,384.517284894,MDR,imgF_aiF,aligned
37,False,dog,mouse,False,False,63.1108009754,MDR,imgF_aiF,aligned
38,True,dog,mouse,True,True,376.832925004,MDR,imgT_aiT,aligned
39,False,dog,mouse,True,False,333.744147618,MDR,imgF_aiT,not-aligned
40,True,owl,,,True,396.157451441,JF,imgT_aiF,not-aligned
41,True,owl,,,True,117.333984059,JF,imgT_aiF,not-aligned
42,True,owl,,,True,35.8014155298,JF,imgT_aiF,not-aligned
43,False,owl,,,False,332.86498544,JF,imgF_aiF,aligned
44,True,owl,,,True,38.523429574,JF,imgT_aiF,not-aligned
45,True,owl,,,True,103.848644468,JF,imgT_aiF,not-aligned
46,False,owl,,,False,385.029478256,JF,imgF_aiF,aligned
47,False,owl,,,False,315.098761515,JF,imgF_aiF,aligned
48,True,owl,,,True,100.388132616,JF,imgT_aiF,not-aligned
49,False,owl,,,False,28.4182538251,JF,imgF_aiF,aligned
50,True,elvis,,True,True,389.328413085,JF,imgT_aiT,aligned
51,False,elvis,,False,False,81.3471569775,JF,imgF_aiF,aligned
52,True,elvis,,False,True,16.148707861,JF,imgT_aiF,not-aligned
53,True,elvis,,False,True,266.116125035,JF,imgT_aiF,not-aligned
54,False,elvis,,True,True,187.939664357,JF,imgT_aiT,aligned
55,False,elvis,,False,False,387.651748677,JF,imgF_aiF,aligned
56,True,elvis,,True,True,275.931604884,JF,imgT_aiT,aligned
57,False,elvis,,False,False,52.5409504784,JF,imgF_aiF,aligned
58,False,elvis,,True,True,343.587502094,JF,imgT_aiT,aligned
59,False,elvis,,False,False,324.019207035,JF,imgF_aiF,aligned
60,True,hot_dog,,False,True,282.11909385,JF,imgT_aiF,not-aligned
61,True,hot_dog,,True,True,127.288181734,JF,imgT_aiT,aligned
62,True,hot_dog,,True,False,416.142625437,JF,imgF_aiT,not-aligned
63,True,hot_dog,,True,True,338.625895904,JF,imgT_aiT,aligned
64,True,hot_dog,,True,True,359.657536707,JF,imgT_aiT,aligned
65,True,hot_dog,,True,True,84.3228098082,JF,imgT_aiT,aligned
66,False,hot_dog,,False,False,45.5422768744,JF,imgF_aiF,aligned
67,False,hot_dog,,False,True,265.680037159,JF,imgT_aiF,not-aligned
68,True,hot_dog,,True,True,181.489785061,JF,imgT_aiT,aligned
69,True,hot_dog,,True,True,160.753266255,JF,imgT_aiT,aligned
70,True,dog,,True,True,326.036101532,JF,imgT_aiT,aligned
71,True,dog,,True,True,41.9017059999,JF,imgT_aiT,aligned
72,True,dog,,True,True,57.6802233976,JF,imgT_aiT,aligned
73,True,dog,,False,False,117.451221144,JF,imgF_aiF,aligned
74,True,dog,,False,True,45.5625324082,JF,imgT_aiF,not-aligned
75,False,dog,,True,False,329.997988302,JF,imgF_aiT,not-aligned
76,True,dog,,True,True,169.780131364,JF,imgT_aiT,aligned
77,True,dog,,True,True,54.1663658999,JF,imgT_aiT,aligned
78,False,dog,,True,False,347.428555975,JF,imgF_aiT,not-aligned
79,True,dog,,True,True,97.432071016,JF,imgT_aiT,aligned
80,True,owl,trackpad,,True,393.766705937,LR,imgT_aiF,not-aligned
81,True,owl,trackpad,,True,20.3002314034,LR,imgT_aiF,not-aligned
82,True,owl,trackpad,,True,16.5966987064,LR,imgT_aiF,not-aligned
83,False,owl,trackpad,,False,293.568146613,LR,imgF_aiF,aligned
84,False,owl,trackpad,,False,42.2699170373,LR,imgF_aiF,aligned
85,False,owl,trackpad,,False,35.4004854997,LR,imgF_aiF,aligned
86,True,owl,trackpad,,True,249.298343434,LR,imgT_aiF,not-aligned
87,True,owl,trackpad,,True,19.910595855,LR,imgT_aiF,not-aligned
88,True,owl,trackpad,,True,7.67939376756,LR,imgT_aiF,not-aligned
89,True,owl,trackpad,,True,31.4481210336,LR,imgT_aiF,not-aligned
90,True,elvis,trackpad,True,True,16.0733628964,LR,imgT_aiT,aligned
91,False,elvis,trackpad,False,False,330.521302955,LR,imgF_aiF,aligned
92,True,elvis,trackpad,False,True,13.2428031057,LR,imgT_aiF,not-aligned
93,True,elvis,trackpad,True,True,5.76287651886,LR,imgT_aiT,aligned
94,False,elvis,trackpad,False,False,411.592082203,LR,imgF_aiF,aligned
95,True,elvis,trackpad,True,True,17.8113365368,LR,imgT_aiT,aligned
96,True,elvis,trackpad,True,True,3.69170828972,LR,imgT_aiT,aligned
97,True,elvis,trackpad,True,True,39.8506933929,LR,imgT_aiT,aligned
98,True,elvis,trackpad,True,True,214.901864489,LR,imgT_aiT,aligned
99,True,elvis,trackpad,True,True,9.37042571332,LR,imgT_aiT,aligned
100,False,hot_dog,trackpad,True,True,375.832475363,LR,imgT_aiT,aligned
101,True,hot_dog,trackpad,True,True,7.74533427631,LR,imgT_aiT,aligned
102,False,hot_dog,trackpad,False,True,20.2119013842,LR,imgT_aiF,not-aligned
103,False,hot_dog,trackpad,True,False,24.4961963734,LR,imgF_aiT,not-aligned
104,True,hot_dog,trackpad,True,True,86.5197308069,LR,imgT_aiT,aligned
105,False,hot_dog,trackpad,True,True,76.9847916602,LR,imgT_aiT,aligned
106,False,hot_dog,trackpad,False,True,361.411239727,LR,imgT_aiF,not-aligned
107,False,hot_dog,trackpad,False,True,92.3783570552,LR,imgT_aiF,not-aligned
108,False,hot_dog,trackpad,False,False,83.349902569,LR,imgF_aiF,aligned
109,False,hot_dog,trackpad,False,True,34.0212797106,LR,imgT_aiF,not-aligned
110,False,dog,trackpad,True,False,283.997600633,LR,imgF_aiT,not-aligned
111,True,dog,trackpad,True,True,289.80340196,LR,imgT_aiT,aligned
112,False,dog,trackpad,False,False,294.7552582,LR,imgF_aiF,aligned
113,True,dog,trackpad,False,True,267.449237959,LR,imgT_aiF,not-aligned
114,True,dog,trackpad,True,True,289.941559421,LR,imgT_aiT,aligned
115,False,dog,trackpad,False,False,359.420084665,LR,imgF_aiF,aligned
116,True,dog,trackpad,True,True,30.4909352631,LR,imgT_aiT,aligned
117,False,dog,trackpad,False,False,220.729003627,LR,imgF_aiF,aligned
118,False,dog,trackpad,False,False,274.392549056,LR,imgF_aiF,aligned
119,True,dog,trackpad,True,True,337.911344483,LR,imgT_aiT,aligned
120,True,owl,trackpad,,True,93.5387693929,I.W.,imgT_aiF,not-aligned
121,False,owl,trackpad,,False,293.134018737,I.W.,imgF_aiF,aligned
122,False,owl,trackpad,,False,377.673648317,I.W.,imgF_aiF,aligned
123,False,owl,trackpad,,False,84.5232958024,I.W.,imgF_aiF,aligned
124,False,owl,trackpad,,False,8.26349094506,I.W.,imgF_aiF,aligned
